timestamp=20260324_022952
host=127.0.0.1:11634
model=tinyllama:latest
OLLAMA_LIBRARY_PATH=/home/limonene/ROCm-project/ollama-src/build-gfx900/lib/ollama
ROCBLAS_TENSILE_LIBPATH=/home/limonene/ROCm-project/ROCm-repos_AETS/rocBLAS/build-mi25-gfx900/release/rocblas-install/lib/rocblas/library
PROBE_DIR=/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/rocprofv3_probe_tinyllama_latest_20260324_022952
GEN_LOG=/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/rocprofv3_generate_tinyllama_latest_20260324_022952.json
SERVE_OUT=/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/rocprofv3_serve_stdout_tinyllama_latest_20260324_022952.log
SERVE_ERR=/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/rocprofv3_serve_stderr_tinyllama_latest_20260324_022952.log

--- generate result ---
tinyllama:latest
true
length
3908017538
1843392628
95
256

--- rocprof output counts ---
trace_file_count=1
csv_file_count=1
dispatch_rows=21549
tensile_or_gemm_rows=0
kernel_trace_file=/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/rocprofv3_probe_tinyllama_latest_20260324_022952/hbmx-mi25/3318466_kernel_trace.csv
kernel_dispatch_rows=21548
kernel_mul_mat_q_rows=151
kernel_mul_mat_vec_rows=6457
kernel_flash_attn_rows=2180
kernel_quantize_rows=6608
kernel_copy_rows=393
kernel_tensile_like_rows=0

--- rocprof files ---
/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/rocprofv3_probe_tinyllama_latest_20260324_022952/hbmx-mi25/3318466_kernel_trace.csv

--- top kernel names (dispatch rows) ---
6457	quantize_q8_1(float const*, void*, long, long, long, long, long, unsigned int, HIP_vector_type<unsigned int, 3u>)
3252	void mul_mat_vec_q<(ggml_type)2, 1, false>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int)
3156	void mul_mat_vec_q<(ggml_type)2, 1, true>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int)
2229	void rms_norm_f32<1024, true, false>(float const*, float*, int, long, long, long, float, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>)
1090	void rope_norm<true, false, float, float>(float const*, float*, int, int, int, int, int, int const*, float, float, float, rope_corr_dims, float, float const*, long const*, int)
1090	void rope_norm<true, false, float, __half>(float const*, __half*, int, int, int, int, int, int const*, float, float, float, rope_corr_dims, float, float const*, long const*, int)
1090	void k_set_rows<float, long, __half>(float const*, long const*, __half*, long, long, long, long, long, long, long, long, long, long, long, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>)
1090	void flash_attn_combine_results<64>(float const*, HIP_vector_type<float, 2u> const*, float*, int)
1068	void flash_attn_tile<64, 64, 1, 8, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)
392	__amd_rocclr_copyBuffer
151	void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)1>(float const*, int const*, void*, long, long, long, long, long, int, int)
151	void mul_mat_q<(ggml_type)2, 48, false>(char const*, int const*, int const*, int const*, float*, float*, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)
98	void k_get_rows_float<float, float>(float const*, int const*, float*, long, long, long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)
91	void k_bin_bcast<&(op_add(float, float)), float, float, float, float const*>(float const*, float const*, float*, int, int, int, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, float const*)
50	void cpy_scalar_contiguous<float, __half>(char const*, char*, long)
49	void mul_mat_vec_q<(ggml_type)14, 1, false>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int)
22	void flash_attn_tile<64, 64, 8, 8, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)
21	void unary_gated_op_kernel<&(op_silu(float)), float>(float const*, float const*, float*, long, long, long, long)
1	__amd_rocclr_fillBufferAligned

--- sample matches (dispatch/tensile/gemm) ---
/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/rocprofv3_probe_tinyllama_latest_20260324_022952/hbmx-mi25/3318466_kernel_trace.csv:1:"Kind","Agent_Id","Queue_Id","Stream_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/rocprofv3_probe_tinyllama_latest_20260324_022952/hbmx-mi25/3318466_kernel_trace.csv:2:"KERNEL_DISPATCH","Agent 1",1,1,3318481,1,6,"__amd_rocclr_copyBuffer",10,339208076681624,339208076689476,0,0,20,0,32,512,1,1,512,1,1
/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/rocprofv3_probe_tinyllama_latest_20260324_022952/hbmx-mi25/3318466_kernel_trace.csv:3:"KERNEL_DISPATCH","Agent 1",1,1,3318481,2,6,"__amd_rocclr_copyBuffer",16,339208099927960,339208099937738,0,0,20,0,32,512,1,1,512,1,1
/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/rocprofv3_probe_tinyllama_latest_20260324_022952/hbmx-mi25/3318466_kernel_trace.csv:4:"KERNEL_DISPATCH","Agent 1",1,1,3318481,3,6,"__amd_rocclr_copyBuffer",31,339208101300873,339208101308577,0,0,20,0,32,512,1,1,512,1,1
/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/rocprofv3_probe_tinyllama_latest_20260324_022952/hbmx-mi25/3318466_kernel_trace.csv:5:"KERNEL_DISPATCH","Agent 1",1,1,3318481,4,6,"__amd_rocclr_copyBuffer",43,339208105386427,339208105393390,0,0,20,0,32,512,1,1,512,1,1
/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/rocprofv3_probe_tinyllama_latest_20260324_022952/hbmx-mi25/3318466_kernel_trace.csv:6:"KERNEL_DISPATCH","Agent 1",1,1,3318481,5,6,"__amd_rocclr_copyBuffer",58,339208107023049,339208107030456,0,0,20,0,32,512,1,1,512,1,1
/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/rocprofv3_probe_tinyllama_latest_20260324_022952/hbmx-mi25/3318466_kernel_trace.csv:7:"KERNEL_DISPATCH","Agent 1",1,1,3318481,6,6,"__amd_rocclr_copyBuffer",70,339208111389052,339208111394978,0,0,20,0,32,512,1,1,512,1,1
/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/rocprofv3_probe_tinyllama_latest_20260324_022952/hbmx-mi25/3318466_kernel_trace.csv:8:"KERNEL_DISPATCH","Agent 1",1,1,3318481,7,6,"__amd_rocclr_copyBuffer",85,339208113054711,339208113062267,0,0,20,0,32,512,1,1,512,1,1
/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/rocprofv3_probe_tinyllama_latest_20260324_022952/hbmx-mi25/3318466_kernel_trace.csv:9:"KERNEL_DISPATCH","Agent 1",1,1,3318481,8,6,"__amd_rocclr_copyBuffer",97,339208117768572,339208117774498,0,0,20,0,32,512,1,1,512,1,1
/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/rocprofv3_probe_tinyllama_latest_20260324_022952/hbmx-mi25/3318466_kernel_trace.csv:10:"KERNEL_DISPATCH","Agent 1",1,1,3318481,9,6,"__amd_rocclr_copyBuffer",112,339208119408305,339208119415712,0,0,20,0,32,512,1,1,512,1,1
/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/rocprofv3_probe_tinyllama_latest_20260324_022952/hbmx-mi25/3318466_kernel_trace.csv:11:"KERNEL_DISPATCH","Agent 1",1,1,3318481,10,6,"__amd_rocclr_copyBuffer",124,339208124756696,339208124763659,0,0,20,0,32,512,1,1,512,1,1
/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/rocprofv3_probe_tinyllama_latest_20260324_022952/hbmx-mi25/3318466_kernel_trace.csv:12:"KERNEL_DISPATCH","Agent 1",1,1,3318481,11,6,"__amd_rocclr_copyBuffer",139,339208126389465,339208126396132,0,0,20,0,32,512,1,1,512,1,1
/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/rocprofv3_probe_tinyllama_latest_20260324_022952/hbmx-mi25/3318466_kernel_trace.csv:13:"KERNEL_DISPATCH","Agent 1",1,1,3318481,12,6,"__amd_rocclr_copyBuffer",151,339208131752747,339208131759858,0,0,20,0,32,512,1,1,512,1,1
/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/rocprofv3_probe_tinyllama_latest_20260324_022952/hbmx-mi25/3318466_kernel_trace.csv:14:"KERNEL_DISPATCH","Agent 1",1,1,3318481,13,6,"__amd_rocclr_copyBuffer",166,339208133398107,339208133404626,0,0,20,0,32,512,1,1,512,1,1
/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/rocprofv3_probe_tinyllama_latest_20260324_022952/hbmx-mi25/3318466_kernel_trace.csv:15:"KERNEL_DISPATCH","Agent 1",1,1,3318481,14,6,"__amd_rocclr_copyBuffer",178,339208138768565,339208138774640,0,0,20,0,32,512,1,1,512,1,1
/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/rocprofv3_probe_tinyllama_latest_20260324_022952/hbmx-mi25/3318466_kernel_trace.csv:16:"KERNEL_DISPATCH","Agent 1",1,1,3318481,15,6,"__amd_rocclr_copyBuffer",193,339208140424740,339208140431259,0,0,20,0,32,512,1,1,512,1,1
/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/rocprofv3_probe_tinyllama_latest_20260324_022952/hbmx-mi25/3318466_kernel_trace.csv:17:"KERNEL_DISPATCH","Agent 1",1,1,3318481,16,6,"__amd_rocclr_copyBuffer",205,339208145793124,339208145799347,0,0,20,0,32,512,1,1,512,1,1
/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/rocprofv3_probe_tinyllama_latest_20260324_022952/hbmx-mi25/3318466_kernel_trace.csv:18:"KERNEL_DISPATCH","Agent 1",1,1,3318481,17,6,"__amd_rocclr_copyBuffer",220,339208147262630,339208147269297,0,0,20,0,32,512,1,1,512,1,1
/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/rocprofv3_probe_tinyllama_latest_20260324_022952/hbmx-mi25/3318466_kernel_trace.csv:19:"KERNEL_DISPATCH","Agent 1",1,1,3318481,18,6,"__amd_rocclr_copyBuffer",232,339208152072190,339208152079005,0,0,20,0,32,512,1,1,512,1,1
